@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute leap-1 numeric
@attribute leap-2 numeric
@attribute leap-3 numeric
@attribute leap-4 numeric
@attribute leap-5 numeric
@attribute leap-6 numeric
@attribute leap-7 numeric
@attribute leap-8 numeric
@attribute leap-9 numeric
@attribute leap-10 numeric
@attribute leap-11 numeric
@attribute leap-12 numeric
@attribute leap-13 numeric
@attribute leap-14 numeric
@attribute leap-15 numeric
@attribute leap-16 numeric
@attribute leap-17 numeric
@attribute leap-18 numeric
@attribute leap-19 numeric
@attribute leap-20 numeric
@attribute leap-21 numeric
@attribute leap-22 numeric
@attribute leap-23 numeric
@attribute leap-24 numeric
@attribute leap-25 numeric
@attribute leap-26 numeric
@attribute leap-27 numeric
@attribute leap-28 numeric
@attribute leap-29 numeric
@attribute leap-30 numeric
@attribute leap-31 numeric
@attribute leap-32 numeric
@attribute leap-33 numeric
@attribute leap-34 numeric
@attribute leap-35 numeric
@attribute leap-36 numeric
@attribute leap-37 numeric
@attribute leap-38 numeric
@attribute leap-39 numeric
@attribute leap-40 numeric
@attribute leap-41 numeric
@attribute leap-42 numeric
@attribute leap-43 numeric
@attribute leap-44 numeric
@attribute leap-45 numeric
@attribute leap-46 numeric
@attribute leap-47 numeric
@attribute leap-48 numeric
@attribute leap-49 numeric
@attribute leap-50 numeric
@attribute leap-51 numeric
@attribute leap-52 numeric
@attribute leap-53 numeric
@attribute leap-54 numeric
@attribute leap-55 numeric
@attribute leap-56 numeric
@attribute leap-57 numeric
@attribute leap-58 numeric
@attribute leap-59 numeric
@attribute leap-60 numeric
@attribute amplitude numeric
@attribute frequency numeric

@data
31,'2024/11/13 08:18:57:553',2,0.036719,0.050979,0.033081,0.026654,0.038095,0.039613,0.005972,0.001659,0.000836,0.000529,0.081551,0.071473,0.066412,0.084257,0.095152,0.105026,0.017922,0.003497,0.001405,0.000713,0.046239,0.040909,0.031607,0.03168,0.038713,0.034254,0.003298,0.00103,0.000308,0.000122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
32,'2024/11/13 08:18:57:568',2,0.036112,0.050124,0.0322,0.025412,0.03741,0.039595,0.006345,0.001877,0.001029,0.000658,0.079707,0.069471,0.063827,0.081701,0.092951,0.104899,0.018291,0.00382,0.00213,0.0013,0.04597,0.040527,0.031133,0.031318,0.038189,0.034222,0.003247,0.001131,0.000498,0.000286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
33,'2024/11/13 08:18:57:585',2,0.034503,0.047785,0.03041,0.02336,0.035901,0.038626,0.006174,0.001811,0.001057,0.000685,0.075331,0.065305,0.059043,0.076082,0.088269,0.101912,0.018005,0.004365,0.002616,0.001654,0.043667,0.038321,0.029257,0.029514,0.035896,0.032806,0.003018,0.001081,0.000595,0.000382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
34,'2024/11/13 08:18:57:601',2,0.034199,0.047153,0.029804,0.02223,0.035902,0.038852,0.005877,0.001675,0.001041,0.000667,0.07473,0.06454,0.057266,0.073948,0.088606,0.102799,0.017703,0.004923,0.002937,0.001858,0.043222,0.037764,0.028727,0.028964,0.035182,0.032847,0.00308,0.001167,0.000761,0.000469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
35,'2024/11/13 08:18:57:619',2,0.034152,0.046822,0.029476,0.021389,0.036206,0.039015,0.005297,0.001391,0.000906,0.000569,0.074835,0.064525,0.056189,0.072386,0.090236,0.103655,0.0163,0.004862,0.002829,0.001801,0.04275,0.037195,0.028255,0.028338,0.03453,0.032781,0.002962,0.001143,0.000732,0.000465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
36,'2024/11/13 08:18:57:636',2,0.033326,0.045393,0.028568,0.020336,0.035575,0.037957,0.004579,0.001116,0.000673,0.0004,0.072983,0.063009,0.054065,0.06916,0.089412,0.100832,0.013854,0.00432,0.002436,0.001499,0.040414,0.035058,0.026706,0.026532,0.032531,0.031154,0.002833,0.001136,0.000646,0.000403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
37,'2024/11/13 08:18:57:652',2,0.033734,0.045654,0.028816,0.020351,0.036085,0.03814,0.004316,0.001009,0.00045,0.000196,0.07401,0.064093,0.05451,0.069099,0.091597,0.101337,0.012998,0.003575,0.001801,0.001025,0.040334,0.034933,0.026764,0.026287,0.032477,0.031105,0.002806,0.001107,0.000532,0.000312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
38,'2024/11/13 08:18:57:680',2,0.034036,0.045879,0.029036,0.020499,0.036347,0.038294,0.004369,0.00098,0.000312,0.000039,0.075165,0.065326,0.055403,0.069614,0.093233,0.101843,0.013202,0.003034,0.001122,0.000348,0.040412,0.034983,0.026973,0.026224,0.032612,0.031088,0.002727,0.000985,0.000329,0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
39,'2024/11/13 08:18:57:706',2,0.032799,0.044301,0.02794,0.019666,0.034949,0.037055,0.004129,0.000907,0.000315,0.00008,0.073174,0.063675,0.053994,0.067544,0.090513,0.098714,0.012998,0.002876,0.000922,0.000122,0.038446,0.0333,0.025805,0.024948,0.031119,0.029553,0.002644,0.000958,0.000267,0.000029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
40,'2024/11/13 08:18:59:189',2,0.006332,0.005526,0.012229,0.007601,0.020316,0.024673,0.002628,0.000999,0.000659,0.000428,0.009121,0.02009,0.056805,0.051758,0.095012,0.090243,0.019392,0.00722,0.005181,0.003452,0.014652,0.01053,0.011821,0.013318,0.023953,0.020622,0.000322,0.00012,0.000225,0.000189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
41,'2024/11/13 08:18:59:208',2,0.006632,0.005726,0.011767,0.007733,0.020318,0.024344,0.002441,0.000965,0.000589,0.000381,0.010046,0.018185,0.054491,0.054452,0.09465,0.091941,0.021233,0.010283,0.008249,0.006465,0.014562,0.010406,0.011871,0.013371,0.024073,0.020702,0.000433,0.0002,0.000252,0.000194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
42,'2024/11/13 08:18:59:227',2,0.007047,0.006086,0.01156,0.007978,0.020572,0.024115,0.002173,0.000869,0.000492,0.000305,0.011996,0.017146,0.052182,0.057413,0.096229,0.092978,0.021601,0.012699,0.010539,0.008715,0.01435,0.010137,0.011849,0.013289,0.024065,0.020826,0.000691,0.00035,0.000331,0.000246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
43,'2024/11/13 08:18:59:244',2,0.007543,0.006555,0.011634,0.008333,0.021034,0.024125,0.002022,0.000742,0.000356,0.000197,0.011548,0.014356,0.047574,0.058164,0.097875,0.090943,0.018572,0.010721,0.008589,0.006932,0.014264,0.009894,0.012065,0.013305,0.02434,0.021416,0.001092,0.000584,0.000482,0.000341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
